 TITLE="parade results"
 VARIABLES="wavl","emis","absco"
 ZONE I=        4000, F=POINT
      960.634        9.988403E+13     37.7523
      960.894        1.002497E+14     37.7830
      961.154        1.006167E+14     37.8136
      961.414        1.009849E+14     37.8443
      961.674        1.013545E+14     37.8750
      961.934        1.017255E+14     37.9058
      962.194        1.020978E+14     37.9366
      962.455        1.024714E+14     37.9674
      962.716        1.028464E+14     37.9982
      962.976        1.032227E+14     38.0291
      963.237        1.036004E+14     38.0601
      963.498        1.039796E+14     38.0910
      963.760        1.043600E+14     38.1220
      964.021        1.047418E+14     38.1530
      964.283        1.051251E+14     38.1841
      964.544        1.055097E+14     38.2152
      964.806        1.058956E+14     38.2463
      965.068        1.062831E+14     38.2774
      965.330        1.066719E+14     38.3087
