y rho t u v xe xN xO xN2 xNO xO2 xN2p xNOp xNp xO2p xOp
97  
 2.073305E-02 5.687376E-04 6.407772E+03 5.544412E+02 -7.225183E+00 1.024592E-03 7.277191E-01 2.198307E-01 5.021167E-02 1.882218E-04 1.108499E-06 8.221929E-06 1.867203E-04 6.275775E-04 3.279236E-08 2.020395E-04
 1.908673E-02 5.506524E-04 6.537963E+03 5.622447E+02 -7.337958E+00 1.347785E-03 7.426495E-01 2.170600E-01 3.744352E-02 1.505539E-04 9.046069E-07 8.483678E-06 1.666890E-04 9.029697E-04 3.284577E-08 2.696097E-04
 1.744042E-02 5.327761E-04 6.680249E+03 5.696863E+02 -7.358933E+00 1.785580E-03 7.555946E-01 2.145549E-01 2.616263E-02 1.159983E-04 7.181438E-07 8.649345E-06 1.461675E-04 1.273132E-03 3.286110E-08 3.575983E-04
 1.579410E-02 5.147498E-04 6.850162E+03 5.766901E+02 -7.203907E+00 2.462908E-03 7.651230E-01 2.124795E-01 1.738477E-02 8.637465E-05 5.592991E-07 8.636516E-06 1.241649E-04 1.841598E-03 3.280595E-08 4.884755E-04
 1.414778E-02 4.978362E-04 7.034600E+03 5.829733E+02 -6.839986E+00 3.528721E-03 7.706840E-01 2.108293E-01 1.136492E-02 6.389685E-05 4.357864E-07 8.485980E-06 1.045387E-04 2.731511E-03 3.273156E-08 6.841532E-04
 1.250147E-02 4.810290E-04 7.233729E+03 5.890741E+02 -6.352471E+00 4.874245E-03 7.740622E-01 2.093699E-01 6.774122E-03 4.494128E-05 3.292568E-07 8.250075E-06 8.574931E-05 3.853286E-03 3.264349E-08 9.269272E-04
 1.085515E-02 4.670474E-04 7.423150E+03 5.941987E+02 -5.642043E+00 6.905894E-03 7.732932E-01 2.081746E-01 4.685683E-03 3.445125E-05 2.657753E-07 7.960498E-06 7.285999E-05 5.549571E-03 3.253900E-08 1.275470E-03
 9.208835E-03 4.538174E-04 7.605803E+03 5.990842E+02 -4.898547E+00 9.017837E-03 7.719800E-01 2.070211E-01 2.937776E-03 2.528681E-05 2.094231E-07 7.674658E-06 6.113444E-05 7.313962E-03 3.243186E-08 1.635033E-03
 7.562519E-03 4.437578E-04 7.755249E+03 6.030599E+02 -4.062746E+00 1.151153E-02 7.687864E-01 2.059464E-01 2.223281E-03 2.069463E-05 1.786131E-07 7.427594E-06 5.403619E-05 9.404822E-03 3.230454E-08 2.045206E-03
 5.916203E-03 4.350025E-04 7.885674E+03 6.065418E+02 -3.210845E+00 1.375680E-02 7.658633E-01 2.049877E-01 1.618531E-03 1.678557E-05 1.522899E-07 7.211693E-06 4.794911E-05 1.128826E-02 3.218888E-08 2.413340E-03
 4.269887E-03 4.289428E-04 7.978977E+03 6.091350E+02 -2.336148E+00 1.579982E-02 7.628524E-01 2.041793E-01 1.353788E-03 1.479724E-05 1.379642E-07 7.054700E-06 4.441632E-05 1.300687E-02 3.207849E-08 2.741450E-03
 2.623571E-03 4.245048E-04 8.047227E+03 6.110325E+02 -1.443724E+00 1.729025E-02 7.606615E-01 2.035886E-01 1.155991E-03 1.332440E-05 1.273863E-07 6.939897E-06 4.181514E-05 1.426063E-02 3.199778E-08 2.980831E-03
 9.772549E-04 4.224551E-04 8.079038E+03 6.119422E+02 -5.370858E-01 1.805282E-02 7.595097E-01 2.032922E-01 1.079552E-03 1.272173E-05 1.229412E-07 6.886083E-06 4.069600E-05 1.490284E-02 3.195521E-08 3.102362E-03
